raw,canonical,kind
spb,Saint Petersburg,city
saint petersburg,Saint Petersburg,city
moscow,Moscow,city
msk,Moscow,city
nyc,New York,city
new york,New York,city
remote,REMOTE,mode
home,REMOTE,mode
office,OFFICE,mode
hq,OFFICE,mode
as,Astana,city
astana,Astana,city
ak,Aktau,city
aktau,Aktau,city
at,Atyrau,city
atyrau,Atyrau,city
bt,Bautino,city
bautino,Bautino,city
ew,Zapadny Eskene,city
ew / samal,Zapadny Eskene,city
samal,Zapadny Eskene,city
nqz,Astana,city
ala,Almaty,city
almaty,Almaty,city
sco,Shymkent,city
shymkent,Shymkent,city
ist,Istanbul,city
chagala,Chagala,city
akta u,Aktau,city
